Numer X Y H 
@10134 5593350.119 6576072.239 -0.004 
@10135 5593350.169 6576072.239 -0.004 
@10136 5593350.219 6576072.239 -0.003 
@10137 5593350.269 6576072.239 -0.003 
@10138 5593350.319 6576072.239 -0.003 
@10139 5593350.369 6576072.239 -0.003 
@1014 5593347.269 6576072.789 -0.001 
@10140 5593350.419 6576072.239 -0.002 
@10141 5593350.469 6576072.239 -0.002 
@10142 5593350.519 6576072.239 -0.001 
@10143 5593350.569 6576072.239 -0.001 
@10144 5593350.619 6576072.239 -0.001 
@10145 5593350.669 6576072.239 -0.002 
@10146 5593350.719 6576072.239 -0.001 
@10147 5593350.769 6576072.239 -0.001 
@10148 5593350.819 6576072.239 0.000 
@10149 5593350.869 6576072.239 0.000 
@1015 5593347.269 6576072.839 0.000 
@10150 5593350.919 6576072.239 0.000 
@10151 5593350.969 6576072.239 0.000 
@10152 5593351.019 6576072.239 0.000 
@10153 5593351.069 6576072.239 0.000 
@10154 5593351.119 6576072.239 0.001 
@10155 5593351.169 6576072.239 0.001 
@10156 5593351.219 6576072.239 0.001 
@10157 5593351.269 6576072.239 0.002 
@10158 5593351.319 6576072.239 0.002 
@10159 5593351.369 6576072.239 0.002 
@1016 5593347.269 6576072.889 -0.001 
@10160 5593351.419 6576072.239 0.003 
@10161 5593351.469 6576072.239 0.003 
@10162 5593351.519 6576072.239 0.003 
@10163 5593351.569 6576072.239 0.002 
@10164 5593351.619 6576072.239 0.003 
@10165 5593351.669 6576072.239 0.003 
@10166 5593351.719 6576072.239 0.003 
@10167 5593351.769 6576072.239 0.002 
@10168 5593351.819 6576072.239 0.003 
@10169 5593351.869 6576072.239 0.004 
@1017 5593347.269 6576072.939 -0.001 
@10170 5593351.919 6576072.239 0.003 
@10171 5593351.969 6576072.239 0.003 
@10172 5593352.019 6576072.239 0.003 
@10173 5593352.069 6576072.239 0.004 
@10174 5593352.119 6576072.239 0.004 
@10175 5593352.169 6576072.239 0.004 
@10176 5593352.219 6576072.239 0.004 
@10177 5593352.269 6576072.239 0.004 
@10178 5593352.319 6576072.239 0.004 
@10179 5593352.369 6576072.239 0.005 
@1018 5593347.269 6576072.989 -0.001 
@10180 5593352.419 6576072.239 0.004 
@10181 5593352.469 6576072.239 0.004 
@10182 5593352.519 6576072.239 0.004 
@10183 5593352.569 6576072.239 0.004 
@10184 5593352.619 6576072.239 0.004 
@10185 5593352.669 6576072.239 0.004 
@10186 5593352.719 6576072.239 0.003 
@10187 5593352.769 6576072.239 0.002 
@10188 5593352.819 6576072.239 0.002 
@10189 5593352.869 6576072.239 0.003 
@1019 5593347.269 6576073.039 0.000 
@10190 5593352.919 6576072.239 0.002 
@10191 5593352.969 6576072.239 0.002 
@10192 5593353.019 6576072.239 0.001 
@10193 5593353.069 6576072.239 0.001 
@10194 5593353.119 6576072.239 0.001 
@10195 5593353.169 6576072.239 0.001 
@10196 5593353.219 6576072.239 0.001 
@10197 5593353.269 6576072.239 0.001 
@10198 5593353.319 6576072.239 0.001 
@10199 5593353.369 6576072.239 0.001 
@1020 5593347.269 6576073.089 0.001 
@10200 5593353.419 6576072.239 0.000 
@10201 5593353.469 6576072.239 -0.001 
@10202 5593353.519 6576072.239 0.000 
@10203 5593353.569 6576072.239 0.000 
@10204 5593353.619 6576072.239 0.000 
@10205 5593353.669 6576072.239 0.000 
@10206 5593353.719 6576072.239 0.001 
@10207 5593353.769 6576072.239 0.001 
@10208 5593353.819 6576072.239 0.001 
@10209 5593353.869 6576072.239 0.001 
@1021 5593347.269 6576073.139 0.001 
@10210 5593353.919 6576072.239 0.002 
@10211 5593353.969 6576072.239 0.002 
@10212 5593354.019 6576072.239 0.003 
@10213 5593354.069 6576072.239 0.003 
@10214 5593354.119 6576072.239 0.003 
@10215 5593354.169 6576072.239 0.003 
@10216 5593354.219 6576072.239 0.003 
@10217 5593354.269 6576072.239 0.003 
@10218 5593354.319 6576072.239 0.005 
@10219 5593354.369 6576072.239 0.006 
@1022 5593347.269 6576073.189 0.002 
@10220 5593354.419 6576072.239 0.006 
@10221 5593354.469 6576072.239 0.005 
@10222 5593354.519 6576072.239 0.005 
@10223 5593354.569 6576072.239 0.005 
@10224 5593354.619 6576072.239 0.005 
@10225 5593354.669 6576072.239 0.005 
@10226 5593354.719 6576072.239 0.006 
@10227 5593354.769 6576072.239 0.006 
@10228 5593354.819 6576072.239 0.007 
@10229 5593354.869 6576072.239 0.008 
@1023 5593347.269 6576073.239 0.002 
@10230 5593354.919 6576072.239 0.008 
@10231 5593354.969 6576072.239 0.008 
@10232 5593355.019 6576072.239 0.008 
@10233 5593355.069 6576072.239 0.008 
@10234 5593355.119 6576072.239 0.008 
@10235 5593355.169 6576072.239 0.007 
@10236 5593355.219 6576072.239 0.008 
@10237 5593355.269 6576072.239 0.009 
@10238 5593355.319 6576072.239 0.009 
@10239 5593355.369 6576072.239 0.009 
@1024 5593347.269 6576073.289 0.002 
@10240 5593355.419 6576072.239 0.009 
@10241 5593355.469 6576072.239 0.009 
@10242 5593355.519 6576072.239 0.009 
@10243 5593355.569 6576072.239 0.010 
@10244 5593355.619 6576072.239 0.009 
@10245 5593355.669 6576072.239 0.009 
@10246 5593355.719 6576072.239 0.008 
@10247 5593355.769 6576072.239 0.008 
@10248 5593355.819 6576072.239 0.009 
@10249 5593355.869 6576072.239 0.010 
@1025 5593347.269 6576073.339 0.002 
@10250 5593355.919 6576072.239 0.009 
@10251 5593355.969 6576072.239 0.008 
@10252 5593356.019 6576072.239 0.009 
