Numer X Y H 
@12753 5593355.869 6576073.439 0.010 
@12754 5593355.919 6576073.439 0.010 
@12755 5593355.969 6576073.439 0.010 
@12756 5593356.019 6576073.439 0.010 
@12757 5593356.069 6576073.439 0.009 
@12758 5593356.119 6576073.439 0.009 
@12759 5593356.169 6576073.439 0.009 
@1276 5593347.669 6576073.589 0.003 
@12760 5593356.219 6576073.439 0.009 
@12761 5593356.269 6576073.439 0.009 
@12762 5593356.319 6576073.439 0.008 
@12763 5593356.369 6576073.439 0.007 
@12764 5593356.419 6576073.439 0.008 
@12765 5593356.469 6576073.439 0.008 
@12766 5593356.519 6576073.439 0.008 
@12767 5593356.569 6576073.439 0.008 
@12768 5593356.619 6576073.439 0.010 
@12769 5593356.669 6576073.439 0.012 
@1277 5593347.669 6576073.639 0.002 
@12770 5593356.719 6576073.439 0.011 
@12771 5593356.769 6576073.439 0.010 
@12772 5593356.819 6576073.439 0.011 
@12773 5593356.869 6576073.439 0.012 
@12774 5593356.919 6576073.439 0.011 
@12775 5593356.969 6576073.439 0.010 
@12776 5593357.019 6576073.439 0.009 
@12777 5593357.069 6576073.439 0.008 
@12778 5593346.669 6576073.539 0.002 
@12779 5593346.719 6576073.539 0.002 
@1278 5593347.769 6576070.539 -0.004 
@12780 5593346.769 6576073.539 0.003 
@12781 5593346.819 6576073.539 0.003 
@12782 5593346.869 6576073.539 0.003 
@12783 5593346.919 6576073.539 0.003 
@12784 5593346.969 6576073.539 0.003 
@12785 5593347.019 6576073.539 0.003 
@12786 5593347.069 6576073.539 0.003 
@12787 5593347.119 6576073.539 0.003 
@12788 5593347.169 6576073.539 0.004 
@12789 5593347.219 6576073.539 0.003 
@1279 5593347.769 6576070.589 -0.005 
@12790 5593347.269 6576073.539 0.003 
@12791 5593347.319 6576073.539 0.002 
@12792 5593347.369 6576073.539 0.002 
@12793 5593347.419 6576073.539 0.002 
@12794 5593347.469 6576073.539 0.001 
@12795 5593347.519 6576073.539 0.001 
@12796 5593347.569 6576073.539 0.001 
@12797 5593347.619 6576073.539 0.003 
@12798 5593347.669 6576073.539 0.005 
@12799 5593347.719 6576073.539 0.004 
@1280 5593347.769 6576070.639 -0.005 
@12800 5593347.769 6576073.539 0.004 
@12801 5593347.819 6576073.539 0.004 
@12802 5593347.869 6576073.539 0.003 
@12803 5593347.919 6576073.539 0.002 
@12804 5593347.969 6576073.539 0.001 
@12805 5593348.019 6576073.539 0.002 
@12806 5593348.069 6576073.539 0.003 
@12807 5593348.119 6576073.539 0.003 
@12808 5593348.169 6576073.539 0.002 
@12809 5593348.219 6576073.539 0.002 
@1281 5593347.769 6576070.689 -0.005 
@12810 5593348.269 6576073.539 0.002 
@12811 5593348.319 6576073.539 0.002 
@12812 5593348.369 6576073.539 0.002 
@12813 5593348.419 6576073.539 0.002 
@12814 5593348.469 6576073.539 0.003 
@12815 5593348.519 6576073.539 0.003 
@12816 5593348.569 6576073.539 0.003 
@12817 5593348.619 6576073.539 0.003 
@12818 5593348.669 6576073.539 0.002 
@12819 5593348.719 6576073.539 0.002 
@1282 5593347.769 6576070.739 -0.004 
@12820 5593348.769 6576073.539 0.001 
@12821 5593348.819 6576073.539 0.002 
@12822 5593348.869 6576073.539 0.002 
@12823 5593348.919 6576073.539 0.001 
@12824 5593348.969 6576073.539 0.001 
@12825 5593349.019 6576073.539 0.001 
@12826 5593349.069 6576073.539 0.002 
@12827 5593349.119 6576073.539 0.001 
@12828 5593349.169 6576073.539 0.001 
@12829 5593349.219 6576073.539 0.001 
@1283 5593347.769 6576070.789 -0.004 
@12830 5593349.269 6576073.539 0.001 
@12831 5593349.319 6576073.539 0.002 
@12832 5593349.369 6576073.539 0.002 
@12833 5593349.419 6576073.539 0.003 
@12834 5593349.469 6576073.539 0.004 
@12835 5593349.519 6576073.539 0.003 
@12836 5593349.569 6576073.539 0.002 
@12837 5593349.619 6576073.539 0.002 
@12838 5593349.669 6576073.539 0.002 
@12839 5593349.719 6576073.539 0.002 
@1284 5593347.769 6576070.839 -0.004 
@12840 5593349.769 6576073.539 0.003 
@12841 5593349.819 6576073.539 0.001 
@12842 5593349.869 6576073.539 0.000 
@12843 5593349.919 6576073.539 0.000 
@12844 5593349.969 6576073.539 0.000 
@12845 5593350.019 6576073.539 0.000 
@12846 5593350.069 6576073.539 0.000 
@12847 5593350.119 6576073.539 0.000 
@12848 5593350.169 6576073.539 0.000 
@12849 5593350.219 6576073.539 0.000 
@1285 5593347.769 6576070.889 -0.004 
@12850 5593350.269 6576073.539 0.000 
@12851 5593350.319 6576073.539 0.001 
@12852 5593350.369 6576073.539 0.001 
@12853 5593350.419 6576073.539 0.001 
@12854 5593350.469 6576073.539 0.001 
@12855 5593350.519 6576073.539 0.001 
@12856 5593350.569 6576073.539 0.002 
@12857 5593350.619 6576073.539 0.002 
@12858 5593350.669 6576073.539 0.003 
@12859 5593350.719 6576073.539 0.004 
@1286 5593347.769 6576070.939 -0.004 
@12860 5593350.769 6576073.539 0.004 
@12861 5593350.819 6576073.539 0.004 
@12862 5593350.869 6576073.539 0.004 
@12863 5593350.919 6576073.539 0.005 
@12864 5593350.969 6576073.539 0.005 
@12865 5593351.019 6576073.539 0.005 
@12866 5593351.069 6576073.539 0.005 
@12867 5593351.119 6576073.539 0.004 
@12868 5593351.169 6576073.539 0.004 
@12869 5593351.219 6576073.539 0.006 
@1287 5593347.769 6576070.989 -0.004 
@12870 5593351.269 6576073.539 0.007 
@12871 5593351.319 6576073.539 0.007 
@12872 5593351.369 6576073.539 0.007 
@12873 5593351.419 6576073.539 0.007 
@12874 5593351.469 6576073.539 0.007 
@12875 5593351.519 6576073.539 0.008 
@12876 5593351.569 6576073.539 0.008 
@12877 5593351.619 6576073.539 0.008 
@12878 5593351.669 6576073.539 0.008 
@12879 5593351.719 6576073.539 0.008 
@1288 5593347.769 6576071.039 -0.003 
@12880 5593351.769 6576073.539 0.008 
@12881 5593351.819 6576073.539 0.008 
@12882 5593351.869 6576073.539 0.009 
@12883 5593351.919 6576073.539 0.009 
@12884 5593351.969 6576073.539 0.009 
@12885 5593352.019 6576073.539 0.009 
@12886 5593352.069 6576073.539 0.010 
@12887 5593352.119 6576073.539 0.010 
@12888 5593352.169 6576073.539 0.010 
@12889 5593352.219 6576073.539 0.010 
@1289 5593347.769 6576071.089 -0.003 
@12890 5593352.269 6576073.539 0.010 
@12891 5593352.319 6576073.539 0.010 
@12892 5593352.369 6576073.539 0.010 
@12893 5593352.419 6576073.539 0.011 
@12894 5593352.469 6576073.539 0.011 
@12895 5593352.519 6576073.539 0.010 
@12896 5593352.569 6576073.539 0.010 
@12897 5593352.619 6576073.539 0.009 
@12898 5593352.669 6576073.539 0.009 
@12899 5593352.719 6576073.539 0.008 
@1290 5593347.769 6576071.139 -0.003 
@12900 5593352.769 6576073.539 0.008 
@12901 5593352.819 6576073.539 0.009 
@12902 5593352.869 6576073.539 0.009 
@12903 5593352.919 6576073.539 0.008 
@12904 5593352.969 6576073.539 0.007 
@12905 5593353.019 6576073.539 0.007 
@12906 5593353.069 6576073.539 0.006 
@12907 5593353.119 6576073.539 0.006 
@12908 5593353.169 6576073.539 0.005 
@12909 5593353.219 6576073.539 0.005 
@1291 5593347.769 6576071.189 -0.004 
@12910 5593353.269 6576073.539 0.005 
@12911 5593353.319 6576073.539 0.004 
@12912 5593353.369 6576073.539 0.004 
@12913 5593353.419 6576073.539 0.004 
@12914 5593353.469 6576073.539 0.004 
@12915 5593353.519 6576073.539 0.004 
@12916 5593353.569 6576073.539 0.004 
@12917 5593353.619 6576073.539 0.004 
@12918 5593353.669 6576073.539 0.003 
@12919 5593353.719 6576073.539 0.004 
@1292 5593347.769 6576071.239 -0.004 
@12920 5593353.769 6576073.539 0.005 
@12921 5593353.819 6576073.539 0.005 
@12922 5593353.869 6576073.539 0.005 
@12923 5593353.919 6576073.539 0.005 
@12924 5593353.969 6576073.539 0.005 
@12925 5593354.019 6576073.539 0.006 
@12926 5593354.069 6576073.539 0.007 
@12927 5593354.119 6576073.539 0.006 
@12928 5593354.169 6576073.539 0.006 
@12929 5593354.219 6576073.539 0.006 
@1293 5593347.769 6576071.289 -0.004 
@12930 5593354.269 6576073.539 0.007 
@12931 5593354.319 6576073.539 0.006 
@12932 5593354.369 6576073.539 0.006 
@12933 5593354.419 6576073.539 0.007 
@12934 5593354.469 6576073.539 0.008 
@12935 5593354.519 6576073.539 0.007 
@12936 5593354.569 6576073.539 0.006 
@12937 5593354.619 6576073.539 0.007 
@12938 5593354.669 6576073.539 0.009 
@12939 5593354.719 6576073.539 0.009 
@1294 5593347.769 6576071.339 -0.005 
@12940 5593354.769 6576073.539 0.010 
@12941 5593354.819 6576073.539 0.010 
@12942 5593354.869 6576073.539 0.010 
@12943 5593354.919 6576073.539 0.011 
@12944 5593354.969 6576073.539 0.011 
@12945 5593355.019 6576073.539 0.011 
@12946 5593355.069 6576073.539 0.011 
@12947 5593355.119 6576073.539 0.011 
@12948 5593355.169 6576073.539 0.012 
@12949 5593355.219 6576073.539 0.012 
@1295 5593347.769 6576071.389 -0.004 
@12950 5593355.269 6576073.539 0.012 
@12951 5593355.319 6576073.539 0.012 
@12952 5593355.369 6576073.539 0.012 
@12953 5593355.419 6576073.539 0.012 
@12954 5593355.469 6576073.539 0.011 
@12955 5593355.519 6576073.539 0.011 
@12956 5593355.569 6576073.539 0.011 
@12957 5593355.619 6576073.539 0.010 
@12958 5593355.669 6576073.539 0.010 
@12959 5593355.719 6576073.539 0.010 
@1296 5593347.769 6576071.439 -0.003 
@12960 5593355.769 6576073.539 0.010 
@12961 5593355.819 6576073.539 0.009 
@12962 5593355.869 6576073.539 0.007 
@12963 5593355.919 6576073.539 0.007 
@12964 5593355.969 6576073.539 0.008 
@12965 5593356.019 6576073.539 0.008 
@12966 5593356.069 6576073.539 0.008 
@12967 5593356.119 6576073.539 0.009 
@12968 5593356.169 6576073.539 0.009 
@12969 5593356.219 6576073.539 0.009 
@1297 5593347.769 6576071.489 -0.004 
@12970 5593356.269 6576073.539 0.009 
@12971 5593356.319 6576073.539 0.009 
@12972 5593356.369 6576073.539 0.009 
@12973 5593356.419 6576073.539 0.009 
@12974 5593356.469 6576073.539 0.008 
@12975 5593356.519 6576073.539 0.008 
@12976 5593356.569 6576073.539 0.008 
@12977 5593356.619 6576073.539 0.009 
@12978 5593356.669 6576073.539 0.010 
@12979 5593356.719 6576073.539 0.010 
@1298 5593347.769 6576071.539 -0.004 
@12980 5593356.769 6576073.539 0.011 
@12981 5593356.819 6576073.539 0.011 
@12982 5593356.869 6576073.539 0.010 
@12983 5593356.919 6576073.539 0.011 
@12984 5593356.969 6576073.539 0.011 
@12985 5593357.019 6576073.539 0.009 
@12986 5593357.069 6576073.539 0.008 
@12987 5593346.669 6576073.639 0.003 
@12988 5593346.719 6576073.639 0.003 
@12989 5593346.769 6576073.639 0.003 
@1299 5593347.769 6576071.589 -0.004 
@12990 5593346.819 6576073.639 0.003 
@12991 5593346.869 6576073.639 0.004 
@12992 5593346.919 6576073.639 0.003 
@12993 5593346.969 6576073.639 0.003 
@12994 5593347.019 6576073.639 0.003 
@12995 5593347.069 6576073.639 0.004 
@12996 5593347.119 6576073.639 0.003 
@12997 5593347.169 6576073.639 0.003 
@12998 5593347.219 6576073.639 0.003 
@12999 5593347.269 6576073.639 0.003 
@1300 5593347.769 6576071.639 -0.004 
@13000 5593347.319 6576073.639 0.003 
@13001 5593347.369 6576073.639 0.004 
@13002 5593347.419 6576073.639 0.004 
@13003 5593347.469 6576073.639 0.004 
@13004 5593347.519 6576073.639 0.003 
@13005 5593347.569 6576073.639 0.003 
@13006 5593347.619 6576073.639 0.002 
@13007 5593347.669 6576073.639 0.002 
@13008 5593347.719 6576073.639 0.003 
@13009 5593347.769 6576073.639 0.004 
@1301 5593347.769 6576071.689 -0.004 
@13010 5593347.819 6576073.639 0.003 
@13011 5593347.869 6576073.639 0.002 
@13012 5593347.919 6576073.639 0.002 
@13013 5593347.969 6576073.639 0.002 
@13014 5593348.019 6576073.639 0.002 
@13015 5593348.069 6576073.639 0.002 
@13016 5593348.119 6576073.639 0.002 
@13017 5593348.169 6576073.639 0.002 
@13018 5593348.219 6576073.639 0.002 
@13019 5593348.269 6576073.639 0.002 
@1302 5593347.769 6576071.739 -0.004 
@13020 5593348.319 6576073.639 0.002 
@13021 5593348.369 6576073.639 0.002 
@13022 5593348.419 6576073.639 0.002 
@13023 5593348.469 6576073.639 0.002 
@13024 5593348.519 6576073.639 0.003 
@13025 5593348.569 6576073.639 0.003 
@13026 5593348.619 6576073.639 0.002 
@13027 5593348.669 6576073.639 0.002 
@13028 5593348.719 6576073.639 0.002 
@13029 5593348.769 6576073.639 0.002 
@1303 5593347.769 6576071.789 -0.004 
@13030 5593348.819 6576073.639 0.002 
@13031 5593348.869 6576073.639 0.001 
@13032 5593348.919 6576073.639 0.002 
@13033 5593348.969 6576073.639 0.002 
@13034 5593349.019 6576073.639 0.002 
@13035 5593349.069 6576073.639 0.002 
@13036 5593349.119 6576073.639 0.003 
@13037 5593349.169 6576073.639 0.003 
@13038 5593349.219 6576073.639 0.002 
@13039 5593349.269 6576073.639 0.002 
@1304 5593347.769 6576071.839 -0.004 
@13040 5593349.319 6576073.639 0.002 
@13041 5593349.369 6576073.639 0.002 
@13042 5593349.419 6576073.639 0.003 
@13043 5593349.469 6576073.639 0.003 
@13044 5593349.519 6576073.639 0.003 
@13045 5593349.569 6576073.639 0.002 
@13046 5593349.619 6576073.639 0.002 
@13047 5593349.669 6576073.639 0.003 
@13048 5593349.719 6576073.639 0.002 
@13049 5593349.769 6576073.639 0.002 
@1305 5593347.769 6576071.889 -0.003 
@13050 5593349.819 6576073.639 0.002 
@13051 5593349.869 6576073.639 0.001 
@13052 5593349.919 6576073.639 0.001 
@13053 5593349.969 6576073.639 0.000 
@13054 5593350.019 6576073.639 0.000 
@13055 5593350.069 6576073.639 -0.001 
@13056 5593350.119 6576073.639 -0.001 
@13057 5593350.169 6576073.639 -0.002 
@13058 5593350.219 6576073.639 -0.001 
@13059 5593350.269 6576073.639 0.000 
@1306 5593347.769 6576071.939 -0.002 
@13060 5593350.319 6576073.639 0.001 
@13061 5593350.369 6576073.639 0.003 
@13062 5593350.419 6576073.639 0.002 
@13063 5593350.469 6576073.639 0.001 
@13064 5593350.519 6576073.639 0.002 
@13065 5593350.569 6576073.639 0.002 
@13066 5593350.619 6576073.639 0.002 
@13067 5593350.669 6576073.639 0.001 
@13068 5593350.719 6576073.639 0.003 
@13069 5593350.769 6576073.639 0.004 
@1307 5593347.769 6576071.989 -0.003 
@13070 5593350.819 6576073.639 0.005 
@13071 5593350.869 6576073.639 0.006 
@13072 5593350.919 6576073.639 0.006 
@13073 5593350.969 6576073.639 0.006 
@13074 5593351.019 6576073.639 0.005 
@13075 5593351.069 6576073.639 0.005 
@13076 5593351.119 6576073.639 0.006 
@13077 5593351.169 6576073.639 0.006 
@13078 5593351.219 6576073.639 0.007 
@13079 5593351.269 6576073.639 0.008 
@1308 5593347.769 6576072.039 -0.003 
@13080 5593351.319 6576073.639 0.006 
@13081 5593351.369 6576073.639 0.005 
@13082 5593351.419 6576073.639 0.006 
@13083 5593351.469 6576073.639 0.007 
@13084 5593351.519 6576073.639 0.008 
@13085 5593351.569 6576073.639 0.008 
@13086 5593351.619 6576073.639 0.008 
@13087 5593351.669 6576073.639 0.008 
@13088 5593351.719 6576073.639 0.008 
@13089 5593351.769 6576073.639 0.008 
@1309 5593347.769 6576072.089 -0.002 
@13090 5593351.819 6576073.639 0.008 
@13091 5593351.869 6576073.639 0.008 
@13092 5593351.919 6576073.639 0.008 
@13093 5593351.969 6576073.639 0.009 
@13094 5593352.019 6576073.639 0.009 
@13095 5593352.069 6576073.639 0.008 
@13096 5593352.119 6576073.639 0.009 
@13097 5593352.169 6576073.639 0.009 
@13098 5593352.219 6576073.639 0.010 
@13099 5593352.269 6576073.639 0.011 
@1310 5593347.769 6576072.139 -0.002 
@13100 5593352.319 6576073.639 0.010 
@13101 5593352.369 6576073.639 0.010 
@13102 5593352.419 6576073.639 0.010 
@13103 5593352.469 6576073.639 0.011 
@13104 5593352.519 6576073.639 0.011 
@13105 5593352.569 6576073.639 0.011 
@13106 5593352.619 6576073.639 0.010 
@13107 5593352.669 6576073.639 0.010 
@13108 5593352.719 6576073.639 0.009 
@13109 5593352.769 6576073.639 0.009 
@1311 5593347.769 6576072.189 -0.003 
@13110 5593352.819 6576073.639 0.009 
@13111 5593352.869 6576073.639 0.008 
@13112 5593352.919 6576073.639 0.008 
@13113 5593352.969 6576073.639 0.007 
@13114 5593353.019 6576073.639 0.007 
@13115 5593353.069 6576073.639 0.007 
@13116 5593353.119 6576073.639 0.007 
@13117 5593353.169 6576073.639 0.006 
@13118 5593353.219 6576073.639 0.005 
@13119 5593353.269 6576073.639 0.004 
@1312 5593347.769 6576072.239 -0.003 
@13120 5593353.319 6576073.639 0.005 
@13121 5593353.369 6576073.639 0.005 
@13122 5593353.419 6576073.639 0.005 
@13123 5593353.469 6576073.639 0.004 
@13124 5593353.519 6576073.639 0.004 
@13125 5593353.569 6576073.639 0.005 
@13126 5593353.619 6576073.639 0.004 
@13127 5593353.669 6576073.639 0.004 
@13128 5593353.719 6576073.639 0.004 
@13129 5593353.769 6576073.639 0.003 
@1313 5593347.769 6576072.289 -0.003 
@13130 5593353.819 6576073.639 0.004 
@13131 5593353.869 6576073.639 0.004 
@13132 5593353.919 6576073.639 0.004 
@13133 5593353.969 6576073.639 0.005 
@13134 5593354.019 6576073.639 0.005 
@13135 5593354.069 6576073.639 0.006 
@13136 5593354.119 6576073.639 0.005 
@13137 5593354.169 6576073.639 0.004 
@13138 5593354.219 6576073.639 0.005 
@13139 5593354.269 6576073.639 0.007 
@1314 5593347.769 6576072.339 -0.002 
@13140 5593354.319 6576073.639 0.007 
@13141 5593354.369 6576073.639 0.007 
@13142 5593354.419 6576073.639 0.007 
@13143 5593354.469 6576073.639 0.008 
@13144 5593354.519 6576073.639 0.008 
@13145 5593354.569 6576073.639 0.008 
@13146 5593354.619 6576073.639 0.008 
@13147 5593354.669 6576073.639 0.008 
@13148 5593354.719 6576073.639 0.009 
@13149 5593354.769 6576073.639 0.010 
@1315 5593347.769 6576072.389 -0.002 
@13150 5593354.819 6576073.639 0.010 
@13151 5593354.869 6576073.639 0.010 
@13152 5593354.919 6576073.639 0.010 
@13153 5593354.969 6576073.639 0.010 
@13154 5593355.019 6576073.639 0.011 
@13155 5593355.069 6576073.639 0.011 
@13156 5593355.119 6576073.639 0.011 
@13157 5593355.169 6576073.639 0.011 
@13158 5593355.219 6576073.639 0.012 
@13159 5593355.269 6576073.639 0.012 
@1316 5593347.769 6576072.439 -0.003 
@13160 5593355.319 6576073.639 0.012 
@13161 5593355.369 6576073.639 0.011 
@13162 5593355.419 6576073.639 0.011 
@13163 5593355.469 6576073.639 0.011 
@13164 5593355.519 6576073.639 0.011 
@13165 5593355.569 6576073.639 0.010 
@13166 5593355.619 6576073.639 0.009 
@13167 5593355.669 6576073.639 0.008 
@13168 5593355.719 6576073.639 0.009 
@13169 5593355.769 6576073.639 0.011 
@1317 5593347.769 6576072.489 -0.003 
@13170 5593355.819 6576073.639 0.008 
@13171 5593355.869 6576073.639 0.006 
@13172 5593355.919 6576073.639 0.008 
@13173 5593355.969 6576073.639 0.010 
@13174 5593356.019 6576073.639 0.009 
@13175 5593356.069 6576073.639 0.007 
@13176 5593356.119 6576073.639 0.008 
@13177 5593356.169 6576073.639 0.008 
@13178 5593356.219 6576073.639 0.008 
@13179 5593356.269 6576073.639 0.009 
@1318 5593347.769 6576072.539 -0.002 
@13180 5593356.319 6576073.639 0.009 
@13181 5593356.369 6576073.639 0.009 
@13182 5593356.419 6576073.639 0.009 
@13183 5593356.469 6576073.639 0.008 
@13184 5593356.519 6576073.639 0.009 
@13185 5593356.569 6576073.639 0.009 
@13186 5593356.619 6576073.639 0.009 
@13187 5593356.669 6576073.639 0.010 
@13188 5593356.719 6576073.639 0.009 
@13189 5593356.769 6576073.639 0.009 
@1319 5593347.769 6576072.589 -0.002 
@13190 5593356.819 6576073.639 0.009 
@13191 5593356.869 6576073.639 0.009 
@13192 5593356.919 6576073.639 0.010 
@13193 5593356.969 6576073.639 0.010 
@13194 5593357.019 6576073.639 0.010 
@13195 5593357.069 6576073.639 0.011 
@1320 5593347.769 6576072.639 -0.002 
@1321 5593347.769 6576072.689 -0.001 
@1322 5593347.769 6576072.739 0.000 
@1323 5593347.769 6576072.789 0.000 
@1324 5593347.769 6576072.839 0.000 
@1325 5593347.769 6576072.889 0.000 
@1326 5593347.769 6576072.939 0.001 
@1327 5593347.769 6576072.989 0.001 
@1328 5593347.769 6576073.039 0.002 
@1329 5593347.769 6576073.089 0.002 
@1330 5593347.769 6576073.139 0.002 
@1331 5593347.769 6576073.189 0.002 
@1332 5593347.769 6576073.239 0.003 
@1333 5593347.769 6576073.289 0.003 
@1334 5593347.769 6576073.339 0.003 
@1335 5593347.769 6576073.389 0.003 
@1336 5593347.769 6576073.439 0.004 
@1337 5593347.769 6576073.489 0.004 
@1338 5593347.769 6576073.539 0.004 
@1339 5593347.769 6576073.589 0.004 
@1340 5593347.769 6576073.639 0.004 
@1341 5593347.869 6576070.539 -0.004 
@1342 5593347.869 6576070.589 -0.004 
@1343 5593347.869 6576070.639 -0.004 
@1344 5593347.869 6576070.689 -0.004 
@1345 5593347.869 6576070.739 -0.004 
@1346 5593347.869 6576070.789 -0.004 
@1347 5593347.869 6576070.839 -0.004 
@1348 5593347.869 6576070.889 -0.004 
@1349 5593347.869 6576070.939 -0.005 
@1350 5593347.869 6576070.989 -0.004 
@1351 5593347.869 6576071.039 -0.003 
@1352 5593347.869 6576071.089 -0.004 
@1353 5593347.869 6576071.139 -0.005 
@1354 5593347.869 6576071.189 -0.004 
@1355 5593347.869 6576071.239 -0.003 
@1356 5593347.869 6576071.289 -0.003 
@1357 5593347.869 6576071.339 -0.003 
@1358 5593347.869 6576071.389 -0.004 
@1359 5593347.869 6576071.439 -0.004 
@1360 5593347.869 6576071.489 -0.004 
@1361 5593347.869 6576071.539 -0.004 
@1362 5593347.869 6576071.589 -0.004 
@1363 5593347.869 6576071.639 -0.004 
@1364 5593347.869 6576071.689 -0.003 
@1365 5593347.869 6576071.739 -0.003 
@1366 5593347.869 6576071.789 -0.004 
@1367 5593347.869 6576071.839 -0.004 
@1368 5593347.869 6576071.889 -0.004 
@1369 5593347.869 6576071.939 -0.005 
@1370 5593347.869 6576071.989 -0.004 
@1371 5593347.869 6576072.039 -0.004 
@1372 5593347.869 6576072.089 -0.004 
@1373 5593347.869 6576072.139 -0.005 
@1374 5593347.869 6576072.189 -0.004 
@1375 5593347.869 6576072.239 -0.004 
@1376 5593347.869 6576072.289 -0.003 
@1377 5593347.869 6576072.339 -0.002 
@1378 5593347.869 6576072.389 -0.004 
@1379 5593347.869 6576072.439 -0.005 
@1380 5593347.869 6576072.489 -0.004 
@1381 5593347.869 6576072.539 -0.003 
@1382 5593347.869 6576072.589 -0.003 
@1383 5593347.869 6576072.639 -0.003 
@1384 5593347.869 6576072.689 -0.002 
@1385 5593347.869 6576072.739 -0.002 
@1386 5593347.869 6576072.789 -0.001 
@1387 5593347.869 6576072.839 0.000 
@1388 5593347.869 6576072.889 0.000 
@1389 5593347.869 6576072.939 0.000 
@1390 5593347.869 6576072.989 0.000 
@1391 5593347.869 6576073.039 0.001 
@1392 5593347.869 6576073.089 0.001 
@1393 5593347.869 6576073.139 0.001 
@1394 5593347.869 6576073.189 0.001 
@1395 5593347.869 6576073.239 0.001 
@1396 5593347.869 6576073.289 0.002 
@1397 5593347.869 6576073.339 0.002 
@1398 5593347.869 6576073.389 0.002 
@1399 5593347.869 6576073.439 0.002 
@1400 5593347.869 6576073.489 0.003 
@1401 5593347.869 6576073.539 0.003 
@1402 5593347.869 6576073.589 0.003 
@1403 5593347.869 6576073.639 0.002 
@1404 5593347.969 6576070.639 -0.004 
@1405 5593347.969 6576070.689 -0.004 
@1406 5593347.969 6576070.739 -0.004 
@1407 5593347.969 6576070.789 -0.004 
@1408 5593347.969 6576070.839 -0.004 
@1409 5593347.969 6576070.889 -0.004 
@1410 5593347.969 6576070.939 -0.004 
@1411 5593347.969 6576070.989 -0.004 
@1412 5593347.969 6576071.039 -0.004 
@1413 5593347.969 6576071.089 -0.004 
@1414 5593347.969 6576071.139 -0.004 
@1415 5593347.969 6576071.189 -0.003 
@1416 5593347.969 6576071.239 -0.002 
@1417 5593347.969 6576071.289 -0.002 
@1418 5593347.969 6576071.339 -0.003 
@1419 5593347.969 6576071.389 -0.003 
@1420 5593347.969 6576071.439 -0.004 
@1421 5593347.969 6576071.489 -0.004 
@1422 5593347.969 6576071.539 -0.003 
@1423 5593347.969 6576071.589 -0.004 
@1424 5593347.969 6576071.639 -0.004 
@1425 5593347.969 6576071.689 -0.004 
@1426 5593347.969 6576071.739 -0.003 
@1427 5593347.969 6576071.789 -0.004 
@1428 5593347.969 6576071.839 -0.004 
@1429 5593347.969 6576071.889 -0.004 
@1430 5593347.969 6576071.939 -0.005 
@1431 5593347.969 6576071.989 -0.004 
@1432 5593347.969 6576072.039 -0.004 
@1433 5593347.969 6576072.089 -0.004 
@1434 5593347.969 6576072.139 -0.004 
@1435 5593347.969 6576072.189 -0.004 
@1436 5593347.969 6576072.239 -0.004 
@1437 5593347.969 6576072.289 -0.003 
@1438 5593347.969 6576072.339 -0.002 
@1439 5593347.969 6576072.389 -0.003 
@1440 5593347.969 6576072.439 -0.003 
@1441 5593347.969 6576072.489 -0.003 
@1442 5593347.969 6576072.539 -0.003 
@1443 5593347.969 6576072.589 -0.003 
@1444 5593347.969 6576072.639 -0.002 
@1445 5593347.969 6576072.689 -0.002 
@1446 5593347.969 6576072.739 -0.001 
@1447 5593347.969 6576072.789 -0.001 
@1448 5593347.969 6576072.839 0.000 
@1449 5593347.969 6576072.889 0.000 
@1450 5593347.969 6576072.939 0.000 
@1451 5593347.969 6576072.989 0.001 
@1452 5593347.969 6576073.039 0.002 
@1453 5593347.969 6576073.089 0.002 
@1454 5593347.969 6576073.139 0.002 
@1455 5593347.969 6576073.189 0.002 
@1456 5593347.969 6576073.239 0.002 
@1457 5593347.969 6576073.289 0.002 
@1458 5593347.969 6576073.339 0.003 
@1459 5593347.969 6576073.389 0.003 
@1460 5593347.969 6576073.439 0.003 
@1461 5593347.969 6576073.489 0.002 
@1462 5593347.969 6576073.539 0.001 
@1463 5593347.969 6576073.589 0.002 
@1464 5593347.969 6576073.639 0.002 
@1465 5593348.069 6576070.539 -0.004 
@1466 5593348.069 6576070.589 -0.004 
@1467 5593348.069 6576070.639 -0.004 
@1468 5593348.069 6576070.689 -0.004 
@1469 5593348.069 6576070.739 -0.005 
@1470 5593348.069 6576070.789 -0.005 
@1471 5593348.069 6576070.839 -0.005 
@1472 5593348.069 6576070.889 -0.004 
@1473 5593348.069 6576070.939 -0.003 
@1474 5593348.069 6576070.989 -0.004 
@1475 5593348.069 6576071.039 -0.005 
@1476 5593348.069 6576071.089 -0.004 
@1477 5593348.069 6576071.139 -0.003 
@1478 5593348.069 6576071.189 -0.004 
@1479 5593348.069 6576071.239 -0.004 
@1480 5593348.069 6576071.289 -0.004 
@1481 5593348.069 6576071.339 -0.004 
@1482 5593348.069 6576071.389 -0.004 
@1483 5593348.069 6576071.439 -0.003 
@1484 5593348.069 6576071.489 -0.003 
@1485 5593348.069 6576071.539 -0.003 
@1486 5593348.069 6576071.589 -0.003 
@1487 5593348.069 6576071.639 -0.003 
@1488 5593348.069 6576071.689 -0.004 
@1489 5593348.069 6576071.739 -0.004 
@1490 5593348.069 6576071.789 -0.004 
